Alter,Bildungsstand,Rauchen,gender,Herkunftsland,Mathematiknote,Statistiknote,wmsva14,Extraversion,Neurotizismus,Offenheit,Gewissenhaftigkeit,Verträglichkeit,IQ,BDI,BDI_z2,BDI_c,bedingung,correct_items,confidence
24,5,Nein,2,1,3,3,60,42,26,28,29,50,95,26,3.7535721949493257,20.67,Kontroll,21.060261903078704,2.951510217950002
20,4,Nein,1,1,5,5,52,16,36,17,6,38,73,15,1.7560253084257365,9.669999999999998,Kontroll,21.877791665354145,1.8790368112409486
25,3,Ja,1,2,3,NA,56,21,40,29,20,5,110,5,-0.05992640659570784,-0.33000000000000096,Experimental,17.36833087606344,2.8834413777633414
22,4,Ja,1,2,2,4,42,35,30,42,27,48,108,4,-0.24152157809785227,-1.330000000000001,Experimental,29.09742609657561,0.5835479643946286
25,5,Nein,2,1,1,1,36,23,12,29,28,35,99,1,-0.7863070926042856,-4.330000000000001,Kontroll,25.963469204956525,3.8013510126385093
38,4,Nein,1,2,1,2,68,18,33,24,39,23,106,1,-0.7863070926042856,-4.330000000000001,Kontroll,21.107214477949967,0.48107181379849573
28,5,Nein,1,2,2,3,56,17,29,31,34,27,102,1,-0.7863070926042856,-4.330000000000001,Experimental,26.888900398654673,1.5661717175960777
29,4,Nein,2,2,1,5,50,23,27,20,23,16,100,2,-0.6047119211021411,-3.330000000000001,Kontroll,31.91374265817497,3.0523816102134935
28,5,Ja,2,2,2,5,75,49,1,29,34,43,105,11,1.0296446224171587,5.669999999999999,Experimental,26.221523334073947,4.417289104885564
38,5,Nein,2,1,1,1,48,36,23,28,36,35,97,9,0.6664542794128699,3.669999999999999,Kontroll,15.677515721749085,6.528574693914901
21,3,Nein,1,1,2,NA,42,33,23,34,30,31,119,4,-0.24152157809785227,-1.330000000000001,Kontroll,34.93229027022821,6.371652295063196
25,5,Nein,2,1,2,2,68,36,27,48,33,33,81,4,-0.24152157809785227,-1.330000000000001,Kontroll,10,2.811799081655927
29,4,Nein,1,4,3,2,75,39,19,19,31,35,109,1,-0.7863070926042856,-4.330000000000001,Kontroll,23.634106508614042,3.638129334154275
24,4,Nein,1,1,4,1,58,32,45,42,22,31,102,4,-0.24152157809785227,-1.330000000000001,Experimental,33.414508800649216,6.29488531466323
45,4,Nein,2,1,1,4,40,21,46,20,17,17,78,21,2.845596337438603,15.669999999999998,Experimental,24.304803379982324,6.543813458917581
21,5,Ja,2,2,4,5,33,36,53,18,11,28,110,3,-0.42311674959999673,-2.330000000000001,Experimental,41.46981651966328,3.8432548691141935
21,4,Nein,1,1,3,4,44,35,28,31,26,19,86,0,-0.96790226410643,-5.330000000000001,Kontroll,26.552984859248493,1.8494277765359
21,3,Nein,1,1,4,NA,34,32,33,15,24,22,133,13,1.3928349654214476,7.669999999999999,Experimental,31.008379032207166,5.250154957748753
23,4,Nein,1,2,1,2,64,12,25,23,37,35,111,7,0.303263936408581,1.669999999999999,Experimental,26.655816020808164,2.368034747070047
19,1,Nein,1,2,NA,NA,36,36,36,18,18,36,84,7,0.303263936408581,1.669999999999999,Kontroll,19.531131599500178,5.778970748631819
30,5,Nein,1,1,2,4,60,38,26,35,35,36,98,2,-0.6047119211021411,-3.330000000000001,Experimental,21.607878650526885,2.638536775138499
31,5,Nein,2,4,1,4,60,27,38,48,42,29,124,1,-0.7863070926042856,-4.330000000000001,Kontroll,28.17907667660965,4.633180048551241
20,2,Ja,2,2,5,NA,39,10,28,28,20,20,87,8,0.48485910791072545,2.669999999999999,Experimental,21.714471692355467,4.685398572237785
27,3,Nein,1,1,1,NA,43,6,36,16,26,27,91,19,2.482405994434314,13.669999999999998,Kontroll,19.88532148919344,2.2946979107397794
29,5,Nein,1,3,4,5,27,40,36,40,34,26,94,11,1.0296446224171587,5.669999999999999,Kontroll,21.242585227439697,2.6667754369197234
22,3,Nein,2,1,5,NA,42,19,38,36,35,26,65,1,-0.7863070926042856,-4.330000000000001,Experimental,21.38464271927225,4.952695786951612
20,3,Nein,1,1,5,NA,32,26,30,46,35,22,83,9,0.6664542794128699,3.669999999999999,Experimental,25.751013743472168,4.8304196293005806
31,4,Nein,2,2,5,5,44,14,39,26,31,26,116,14,1.574430136923592,8.669999999999998,Kontroll,50,3.186203326788767
27,4,Ja,1,1,1,2,72,32,45,28,32,34,112,2,-0.6047119211021411,-3.330000000000001,Experimental,32.242797303930665,4.5929888906716405
42,2,Nein,3,1,3,NA,80,43,34,19,25,23,97,8,0.48485910791072545,2.669999999999999,Kontroll,26.550738999961833,4.374450327049835
31,5,Nein,1,2,1,1,51,22,15,44,29,37,109,1,-0.7863070926042856,-4.330000000000001,Kontroll,31.25731988259264,4.386007303376216
24,4,Nein,1,1,4,5,38,17,51,9,23,29,90,0,-0.96790226410643,-5.330000000000001,Kontroll,31.908896100482433,4.449028335609284
35,4,NA,2,2,2,2,91,35,21,29,51,33,116,16,1.937620479927881,10.669999999999998,NA,36.21622689501643,4.015142321543473
66,4,Nein,2,1,4,2,17,40,26,34,30,43,95,7,0.303263936408581,1.669999999999999,Kontroll,19.46700909606495,4.163555234284941
22,5,Ja,2,1,4,2,43,36,34,24,21,36,116,1,-0.7863070926042856,-4.330000000000001,Experimental,34.765644582274874,5.204814593750093
23,4,Nein,2,2,2,1,45,43,26,37,38,41,77,4,-0.24152157809785227,-1.330000000000001,Experimental,34.569114024397464,2.634678875430466
19,4,Nein,2,2,3,2,70,34,33,35,43,57,91,0,-0.96790226410643,-5.330000000000001,Experimental,19.13579353642089,0.32871095950771045
27,4,Ja,2,2,2,3,50,34,17,19,14,11,103,13,1.3928349654214476,7.669999999999999,Experimental,21.392744059113113,5.133854294181912
26,5,Nein,1,2,2,4,51,22,11,31,33,39,106,1,-0.7863070926042856,-4.330000000000001,Kontroll,29.83983833301079,4.757956499036146
30,5,Nein,2,3,2,2,45,27,43,38,47,42,144,5,-0.05992640659570784,-0.33000000000000096,Kontroll,29.54445139743853,3.7519065779950798
21,4,Ja,2,1,4,5,40,28,34,29,29,20,101,11,1.0296446224171587,5.669999999999999,Experimental,32.40412911646262,3.888904527913087
37,5,Ja,2,2,3,4,76,57,22,57,40,50,109,9,0.6664542794128699,3.669999999999999,Experimental,23.509613162914807,3.46846922654386
33,5,Nein,1,1,1,2,59,30,29,40,40,41,113,1,-0.7863070926042856,-4.330000000000001,Kontroll,28.023035883725534,0.7504451856991419
27,4,Nein,1,1,2,2,57,48,26,36,30,35,81,8,0.48485910791072545,2.669999999999999,Kontroll,32.61994476664822,4.392208920104407
23,2,Nein,2,2,3,NA,20,42,13,21,26,24,108,4,-0.24152157809785227,-1.330000000000001,Kontroll,40.44606778217337,0
19,1,Ja,2,3,NA,NA,24,19,44,4,15,23,106,0,-0.96790226410643,-5.330000000000001,Experimental,23.78132457413491,4.607654825549406
33,5,Nein,1,1,2,4,38,44,22,35,32,55,115,3,-0.42311674959999673,-2.330000000000001,Kontroll,23.390448025696934,1.9796144096393942
35,5,Nein,2,1,1,1,56,37,19,37,39,34,125,2,-0.6047119211021411,-3.330000000000001,Experimental,33.29020911105253,1.4350644321474737
20,4,Ja,1,1,5,2,49,18,36,35,15,18,121,5,-0.05992640659570784,-0.33000000000000096,Experimental,36.16569594876082,3.509840549092698
24,5,Nein,2,2,1,1,46,31,21,33,28,27,112,0,-0.96790226410643,-5.330000000000001,Experimental,29.34518465262884,6.31878372710315
26,2,Nein,1,2,1,NA,37,18,42,28,26,29,97,11,1.0296446224171587,5.669999999999999,Kontroll,25.36601029459748,2.415740949113259
22,3,Nein,2,4,3,NA,53,19,31,19,19,40,108,14,1.574430136923592,8.669999999999998,Kontroll,26.7663332926672,1.9035057136966653
23,4,Nein,2,3,5,4,43,34,13,42,41,18,93,2,-0.6047119211021411,-3.330000000000001,Kontroll,28.97102537408133,0.9866232357422886
26,5,Ja,2,2,2,4,54,36,22,41,32,40,94,1,-0.7863070926042856,-4.330000000000001,Experimental,19.139560074582135,3.6523730096933535
36,4,Nein,1,1,4,1,77,38,37,27,35,28,86,5,-0.05992640659570784,-0.33000000000000096,Kontroll,22.845125559511843,5.374676335360467
18,3,Nein,1,1,4,NA,53,26,34,38,34,32,90,6,0.1216687649064366,0.669999999999999,Kontroll,25.57119733510931,1.8366501870048217
20,4,NA,2,2,2,4,58,24,32,23,33,31,103,1,-0.7863070926042856,-4.330000000000001,NA,13.671325553128973,4.5646960471744205
26,3,Nein,1,1,3,NA,35,17,21,37,34,38,119,10,0.8480494509150144,4.669999999999999,Experimental,22.375508697568396,2.8075798661254714
19,3,Nein,1,1,5,NA,38,18,47,15,26,4,80,5,-0.05992640659570784,-0.33000000000000096,Kontroll,25.309470097629205,3.575252079302004
24,3,Ja,1,1,5,NA,30,29,43,16,24,25,77,3,-0.42311674959999673,-2.330000000000001,Experimental,15.286309361080423,1.632021782471632
23,5,Ja,1,2,3,3,43,35,26,24,31,18,101,1,-0.7863070926042856,-4.330000000000001,Experimental,31.151888287620505,4.041023642181841
20,5,Nein,1,2,5,5,38,42,30,34,24,29,92,2,-0.6047119211021411,-3.330000000000001,Kontroll,23.397720378803303,1.9011142102313643
19,4,Nein,2,2,5,1,40,39,49,40,34,23,93,3,-0.42311674959999673,-2.330000000000001,Kontroll,29.360720562293604,3.971592399119994
32,3,Nein,1,2,4,NA,63,32,32,18,29,36,117,10,0.8480494509150144,4.669999999999999,Kontroll,31.304694583627565,6.29678874454205
18,5,Ja,2,1,4,4,32,23,33,42,36,33,110,9,0.6664542794128699,3.669999999999999,Experimental,40.872517309700456,2.6014707367566254
21,5,Ja,2,1,2,1,39,20,44,36,24,24,95,0,-0.96790226410643,-5.330000000000001,Experimental,31.59074038044779,2.9117337515736272
65,5,Nein,2,1,2,1,14,44,24,29,45,39,83,1,-0.7863070926042856,-4.330000000000001,Experimental,32.39097722901704,1.8362354781681711
32,1,Nein,1,1,NA,NA,48,38,16,37,23,10,99,0,-0.96790226410643,-5.330000000000001,Kontroll,22.790654265593503,6.660781337836159
19,4,Nein,2,2,4,4,22,23,34,14,9,12,77,13,1.3928349654214476,7.669999999999999,Kontroll,30.006581582960855,5.757442344313713
23,4,Nein,1,2,2,1,60,22,37,28,22,13,91,4,-0.24152157809785227,-1.330000000000001,Experimental,29.376941573388393,0.8121415686565887
27,4,Nein,2,2,4,2,66,46,22,27,37,28,109,5,-0.05992640659570784,-0.33000000000000096,Kontroll,27.64936020413518,3.855305264054623
31,5,Nein,1,2,1,1,53,36,31,30,20,31,109,2,-0.6047119211021411,-3.330000000000001,Experimental,21.815802977763703,7.329855325677441
19,5,Nein,1,1,5,3,50,23,28,29,28,32,94,0,-0.96790226410643,-5.330000000000001,Kontroll,27.544916616005914,3.0000424651462043
29,5,Nein,2,2,2,1,62,44,18,53,40,33,100,2,-0.6047119211021411,-3.330000000000001,Kontroll,27.511717389297615,2.7760848797565196
22,3,Ja,1,2,2,NA,15,29,31,26,37,26,73,0,-0.96790226410643,-5.330000000000001,Experimental,29.843716374505526,3.127049594836071
22,3,Ja,3,2,5,NA,44,24,31,46,45,37,64,5,-0.05992640659570784,-0.33000000000000096,Experimental,26.16087894040184,0.05901874763690473
31,4,Nein,2,2,4,2,84,18,18,26,10,29,91,2,-0.6047119211021411,-3.330000000000001,Experimental,16.965243680474476,3.1316043373192555
30,5,Nein,2,1,3,3,58,34,36,14,49,33,80,4,-0.24152157809785227,-1.330000000000001,Kontroll,16.493420425763965,7.130646172810294
24,2,Nein,1,1,5,NA,62,38,20,41,15,32,102,27,3.9351673664514695,21.67,Experimental,26.31900447645648,2.8992580790692757
31,5,Ja,2,3,2,3,78,37,28,36,48,34,105,5,-0.05992640659570784,-0.33000000000000096,Experimental,19.670677878661166,7.140265776459575
24,5,Nein,1,1,3,2,62,26,36,25,33,34,96,2,-0.6047119211021411,-3.330000000000001,Kontroll,10.43627793108483,2.078419127979643
26,3,Nein,1,1,1,NA,53,33,36,27,33,35,128,2,-0.6047119211021411,-3.330000000000001,Kontroll,39.59266979625603,1.3334954296220272
