Alter,Bildungsstand,Rauchen,gender,Herkunftsland,Mathematiknote,Statistiknote,wmsva14,Extraversion,Neurotizismus,Offenheit,Gewissenhaftigkeit,Verträglichkeit,IQ,BDI,BDI_z2,BDI_c,bedingung,correct_items,confidence,numerical_ability
22,5,Ja,2,1,4,2,43,36,34,24,21,36,105,1,-0.7863070926042856,-4.330000000000001,Experimental,40.05878448411251,5.8765779125427064,4.858302598397447
23,4,Nein,2,2,2,1,45,43,26,37,38,41,85.5,4,-0.24152157809785227,-1.330000000000001,Experimental,24.504315301229227,5.740045171864429,9.837805471400136
19,4,Nein,2,2,3,2,70,34,33,35,43,57,92.5,0,-0.96790226410643,-5.330000000000001,Experimental,30.119183774145903,4.604460178843709,7.404177378436508
27,4,Ja,2,2,2,3,50,34,17,19,14,11,98.5,13,1.3928349654214476,7.669999999999999,Experimental,32.908222198254016,2.669736736717047,8.664650469662678
26,5,Nein,1,2,2,4,51,22,11,31,33,39,100,1,-0.7863070926042856,-4.330000000000001,Kontroll,24.978357137175323,5.162335393318981,7.270600168605597
30,5,Nein,2,3,2,2,45,27,43,38,47,42,119,5,-0.05992640659570784,-0.33000000000000096,Kontroll,45.26538575243715,5.306705066410652,8.212678270680588
21,4,Ja,2,1,4,5,40,28,34,29,29,20,97.5,11,1.0296446224171587,5.669999999999999,Experimental,35.95898844312906,5.466567617757415,5.140661813094493
37,5,Ja,2,2,3,4,76,57,22,57,40,50,101.5,9,0.6664542794128699,3.669999999999999,Experimental,37.70488393974219,6.207265833321358,7.059512835855955
33,5,Nein,1,1,1,2,59,30,29,40,40,41,103.5,1,-0.7863070926042856,-4.330000000000001,Kontroll,31.243999621659405,7.802571864016789,9.561353473186493
27,4,Nein,1,1,2,2,57,48,26,36,30,35,87.5,8,0.48485910791072545,2.669999999999999,Kontroll,33.391621646670075,4.959701259937984,7.087692420042609
23,2,Nein,2,2,3,NA,20,42,13,21,26,24,101,4,-0.24152157809785227,-1.330000000000001,Kontroll,44.528667804476704,4.824570617205088,6.643281461148407
19,1,Ja,2,3,NA,NA,24,19,44,4,15,23,100,0,-0.96790226410643,-5.330000000000001,Experimental,35.6961307398192,7.309322519341884,NA
33,5,Nein,1,1,2,4,38,44,22,35,32,55,104.5,3,-0.42311674959999673,-2.330000000000001,Kontroll,43.257291580392504,6.3837863409958135,8.17783023526721
35,5,Nein,2,1,1,1,56,37,19,37,39,34,109.5,2,-0.6047119211021411,-3.330000000000001,Experimental,30.81153914239661,4.345872845450738,9.748767227165482
20,4,Ja,1,1,5,2,49,18,36,35,15,18,107.5,5,-0.05992640659570784,-0.33000000000000096,Experimental,26.279886826257712,2.472681148599242,5.797401384034675
24,5,Nein,2,2,1,1,46,31,21,33,28,27,103,0,-0.96790226410643,-5.330000000000001,Experimental,46.775711148078315,1.1514475279999266,7.305251297171836
26,2,Nein,1,2,1,NA,37,18,42,28,26,29,95.5,11,1.0296446224171587,5.669999999999999,Kontroll,20.349812835935,3.949384838893506,6.082048680336213
22,3,Nein,2,4,3,NA,53,19,31,19,19,40,101,14,1.574430136923592,8.669999999999998,Kontroll,27.701420177545796,4.139286730757803,6.103876890933629
23,4,Nein,2,3,5,4,43,34,13,42,41,18,93.5,2,-0.6047119211021411,-3.330000000000001,Kontroll,25.116037006064495,4.767911246541841,6.432299107575481
26,5,Ja,2,2,2,4,54,36,22,41,32,40,94,1,-0.7863070926042856,-4.330000000000001,Experimental,26.94940165392944,7.099701959585496,7.319182325124647
36,4,Nein,1,1,4,1,77,38,37,27,35,28,90,5,-0.05992640659570784,-0.33000000000000096,Kontroll,22.348969930454675,2.4078695772196244,5.109159704046096
18,3,Nein,1,1,4,NA,53,26,34,38,34,32,92,6,0.1216687649064366,0.669999999999999,Kontroll,30.86106919762413,6.691812566821232,6.724324510452373
20,4,NA,2,2,2,4,58,24,32,23,33,31,98.5,1,-0.7863070926042856,-4.330000000000001,NA,28.70384853047953,6.77739502681118,7.795019639824112
26,3,Nein,1,1,3,NA,35,17,21,37,34,38,106.5,10,0.8480494509150144,4.669999999999999,Experimental,36.54528804706126,5.376051970364676,4.930349686308063
19,3,Nein,1,1,5,NA,38,18,47,15,26,4,87,5,-0.05992640659570784,-0.33000000000000096,Kontroll,21.206430184877437,4.396186673493743,4.144144646474093
24,3,Ja,1,1,5,NA,30,29,43,16,24,25,85.5,3,-0.42311674959999673,-2.330000000000001,Experimental,36.03694965717452,4.743598861492079,5.7887013144565636
23,5,Ja,1,2,3,3,43,35,26,24,31,18,97.5,1,-0.7863070926042856,-4.330000000000001,Experimental,38.833933206287405,5.417370610749103,7.151690873761467
20,5,Nein,1,2,5,5,38,42,30,34,24,29,93,2,-0.6047119211021411,-3.330000000000001,Kontroll,32.455581742199016,3.630298120675819,5.477280823921944
19,4,Nein,2,2,5,1,40,39,49,40,34,23,93.5,3,-0.42311674959999673,-2.330000000000001,Kontroll,33.134977501439245,4.6224863086512675,5.262013314708746
32,3,Nein,1,2,4,NA,63,32,32,18,29,36,105.5,10,0.8480494509150144,4.669999999999999,Kontroll,44.66985135070737,3.7333891990370462,6.7536913171328
18,5,Ja,2,1,4,4,32,23,33,42,36,33,102,9,0.6664542794128699,3.669999999999999,Experimental,27.933638097316432,6.7492658275765045,5.364232803680029
21,5,Ja,2,1,2,1,39,20,44,36,24,24,94.5,0,-0.96790226410643,-5.330000000000001,Experimental,21.267470711342806,2.965201391748393,8.02210297636174
65,5,Nein,2,1,2,1,14,44,24,29,45,39,88.5,1,-0.7863070926042856,-4.330000000000001,Experimental,24.062390834359125,5.623291465673612,6.368273889120076
32,1,Nein,1,1,NA,NA,48,38,16,37,23,10,96.5,0,-0.96790226410643,-5.330000000000001,Kontroll,33.91170301810196,4.370415621283675,NA
19,4,Nein,2,2,4,4,22,23,34,14,9,12,85.5,13,1.3928349654214476,7.669999999999999,Kontroll,25.91191532920047,4.720701497059274,4.245523953977491
23,4,Nein,1,2,2,1,60,22,37,28,22,13,92.5,4,-0.24152157809785227,-1.330000000000001,Experimental,33.16761024512776,7.204535222463158,7.924114141654375
27,4,Nein,2,2,4,2,66,46,22,27,37,28,101.5,5,-0.05992640659570784,-0.33000000000000096,Kontroll,36.33529877429309,4.688645953813586,7.505520664644809
31,5,Nein,1,2,1,1,53,36,31,30,20,31,101.5,2,-0.6047119211021411,-3.330000000000001,Experimental,26.669560948936788,3.9562335489075737,8.357578199337969
19,5,Nein,1,1,5,3,50,23,28,29,28,32,94,0,-0.96790226410643,-5.330000000000001,Kontroll,37.06756055790699,4.6494576635037905,4.4026536762642134
29,5,Nein,2,2,2,1,62,44,18,53,40,33,97,2,-0.6047119211021411,-3.330000000000001,Kontroll,34.62432022871542,6.588652293195209,8.394928661941057
22,3,Ja,1,2,2,NA,15,29,31,26,37,26,83.5,0,-0.96790226410643,-5.330000000000001,Experimental,29.92504727235175,6.549533596508259,8.504469685303398
22,3,Ja,3,2,5,NA,44,24,31,46,45,37,79,5,-0.05992640659570784,-0.33000000000000096,Experimental,30.494255079116396,6.645449800938193,6.836015232594287
31,4,Nein,2,2,4,2,84,18,18,26,10,29,92.5,2,-0.6047119211021411,-3.330000000000001,Experimental,26.835213965465655,5.083027456895316,5.841421487920105
30,5,Nein,2,1,3,3,58,34,36,14,49,33,87,4,-0.24152157809785227,-1.330000000000001,Kontroll,25.635896463236215,7.203116417580104,5.7264741197653315
24,2,Nein,1,1,5,NA,62,38,20,41,15,32,98,27,3.9351673664514695,21.67,Experimental,35.726820547146865,5.337740174668246,4.403473077884662
31,5,Ja,2,3,2,3,78,37,28,36,48,34,99.5,5,-0.05992640659570784,-0.33000000000000096,Experimental,22.028338296737864,6.125630083127574,6.333034801122535
24,5,Nein,1,1,3,2,62,26,36,25,33,34,95,2,-0.6047119211021411,-3.330000000000001,Kontroll,31.10636074052299,7.082708848087873,7.77148786256074
26,3,Nein,1,1,1,NA,53,33,36,27,33,35,111,2,-0.6047119211021411,-3.330000000000001,Kontroll,44.770586687550335,4.84181908797061,10.363041871311749
